[2025-08-29 13:37:34] [INFO    ] discord.client: logging in using static token
[2025-08-29 13:37:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-29 13:37:35] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-29 13:37:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1411030052358979705', 'username': 'Hot_Calc', 'avatar': 'c1fa6935332292ac147574fb8b99e98e', 'discriminator': '5219', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-29 13:37:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-29 13:37:35] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-29 13:37:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1411030052358979705', 'name': 'Calc', 'icon': 'c1fa6935332292ac147574fb8b99e98e', 'description': 'Calc', 'type': None, 'bot': {'id': '1411030052358979705', 'username': 'Hot_Calc', 'avatar': 'c1fa6935332292ac147574fb8b99e98e', 'discriminator': '5219', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'fe9fd784fe38aa2d9e1febb3b62a26e6187de9a816e6fb666b466888f8b293e9', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '495687318678667266', 'username': 'abhixd9880', 'avatar': 'd4bc0076ec40b1f260ea0279afb69808', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 3750693, 'global_name': 'TUrkay', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#393b25', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-08-29 13:37:35] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-29 13:37:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-0p1z",{"micros":0.0}]']}}
[2025-08-29 13:37:35] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-29 13:37:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-29 13:37:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Hot_Calc', 'primary_guild': None, 'mfa_enabled': False, 'id': '1411030052358979705', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5219', 'clan': None, 'bot': True, 'avatar': 'c1fa6935332292ac147574fb8b99e98e'}, 'session_type': 'normal', 'session_id': 'dbc8667e9a378de3860ca2b515cbba98', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1410657303103017072'}, {'unavailable': True, 'id': '1411038601243791411'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'us-west', 'oregon', 'us-central', 'santa-clara'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1411030052358979705', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-0p1z",{"micros":117029,"calls":["id_created",{"micros":600,"calls":[]},"session_lookup_time",{"micros":314,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-93",{"micros":115780,"calls":["start_session",{"micros":95156,"calls":["discord-api-rpc-69469dbfc-w4l8g",{"micros":76470,"calls":["get_user",{"micros":5805},"get_guilds",{"micros":41606},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":10789},"apex_experiments",{"micros":2051},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":74,"calls":[]},"presence_started",{"micros":13536,"calls":[]},"guilds_started",{"micros":104,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6891,"calls":[]},"connect_finished",{"micros":6895,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-29 13:37:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-29 13:37:35] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: dbc8667e9a378de3860ca2b515cbba98).
[2025-08-29 13:37:35] [DEBUG   ] discord.client: Dispatching event connect
